paper,blockchain_focus,warehouse_focus,method,strengths_weaknesses
P1,Traceability;Smart contracts,Inventory accuracy;WMS integration,Case study,"+ audit trail;- limited performance"
P2,Blockchain+ML,WMS predictive workflows,Prototype,"+ integration;- early-stage"
P3,Blockchain-ERP integration,Governance;Compliance,Framework,"+ decision guidance;- not implemented"
P4,Quality 4.0+blockchain,Warehouse process quality,Applied model,"+ quality KPIs;- generic chain specifics"
P5,Blockchain in food SCM,Provenance;Dispute reduction,Model+Sim,"+ traceability;- cost estimates limited"
P6,Pre-implementation guide,ERP-Blockchain adoption,Framework,"+ feasibility;- no KPI data"
P7,Warehouse blockchain transacts,Bayes+blockchain calc,Prototype,"+ accuracy;- method clarity gaps"
P8,Security layers blockchain,Consensus;Privacy,Survey,"+ threat model;- SCM linkage thin"
P9,Blockchain-based ERP arch,Modules+smart contracts,Architecture,"+ module mapping;- no pilot"
P10,ERP+ML+blockchain WMS,End-to-end pilot,Case study,"+ practical flow;- single org"
P11,ERP with blockchain SCM,Decision processes,Case study,"+ org insights;- tech detail sparse"
P12,Blockchain in SCM (DE/RU),Up/down stream,Comparative,"+ comparatives;- warehouse specifics limited"
P13,Agri-food SCM blockchain,Coordination mechanisms,Review+use cases,"+ coord lens;- warehouse abstraction"
