L,W,H,DF,optimal_weight
15.2,8.7,12.1,0.85,4.2
22.1,11.3,18.5,0.92,6.8
18.9,9.4,15.2,0.78,5.1
25.6,12.8,20.3,0.88,7.9
12.4,6.2,9.8,0.95,2.8
30.2,15.1,25.7,0.82,9.5
16.7,8.3,13.9,0.91,4.8
28.4,14.2,22.1,0.87,8.7
14.1,7.0,11.2,0.94,3.2
35.8,17.9,29.6,0.79,12.1
19.3,9.6,16.4,0.89,5.6
26.7,13.3,21.8,0.84,7.3
11.8,5.9,9.2,0.96,2.4
32.5,16.2,27.3,0.81,10.2
17.6,8.8,14.7,0.90,5.0
29.1,14.5,23.9,0.86,8.9
13.5,6.7,10.8,0.93,3.6
31.4,15.7,26.1,0.83,9.8
20.8,10.4,17.2,0.88,6.1
24.3,12.1,19.8,0.85,6.9
10.9,5.4,8.7,0.97,2.1
33.7,16.8,28.4,0.80,11.3
18.2,9.1,15.6,0.89,4.9
27.9,13.9,22.7,0.85,8.1
12.7,6.3,10.1,0.95,2.9
34.6,17.3,29.2,0.82,10.8
15.9,7.9,13.1,0.92,4.4
23.4,11.7,19.0,0.87,6.5
14.8,7.4,12.3,0.90,3.8
36.2,18.1,30.5,0.79,12.7
21.5,10.7,17.8,0.86,6.3
25.1,12.5,20.6,0.84,7.1
13.2,6.6,10.5,0.94,3.1
32.8,16.4,27.9,0.81,10.5
16.3,8.1,13.6,0.91,4.6
28.7,14.3,23.1,0.86,8.4
11.5,5.7,9.0,0.96,2.3
35.1,17.5,28.8,0.80,11.6
19.8,9.9,16.8,0.88,5.8
26.3,13.1,21.4,0.85,7.0
12.1,6.0,9.5,0.95,2.6
33.2,16.6,27.7,0.82,10.6
17.1,8.5,14.2,0.90,4.7
29.5,14.7,24.3,0.85,9.1
14.4,7.2,11.8,0.93,3.4
30.9,15.4,25.6,0.83,9.6
22.7,11.3,18.9,0.87,6.7
24.8,12.4,20.2,0.84,7.4
10.6,5.3,8.5,0.97,2.0
34.3,17.1,28.6,0.81,11.1
18.6,9.3,15.9,0.89,5.2
27.2,13.6,22.0,0.86,7.8
13.8,6.9,11.0,0.94,3.5
31.8,15.9,26.5,0.82,10.0
20.1,10.0,16.6,0.88,5.7
25.7,12.8,21.0,0.85,7.2
15.4,7.7,12.8,0.91,4.3
29.8,14.9,24.5,0.83,9.3
23.9,11.9,19.4,0.86,6.6
11.2,5.6,8.8,0.96,2.2
36.5,18.2,30.8,0.79,12.9
21.2,10.6,17.5,0.87,6.0
26.8,13.4,21.9,0.84,7.5
14.7,7.3,12.1,0.92,3.9
32.1,16.0,26.9,0.81,10.3
16.8,8.4,14.0,0.91,4.5
28.9,14.4,23.4,0.86,8.5
12.9,6.4,10.3,0.95,3.0
35.4,17.7,29.1,0.80,11.8
19.5,9.7,16.1,0.89,5.4
26.5,13.2,21.6,0.85,7.1
13.6,6.8,10.9,0.93,3.3
33.5,16.7,28.0,0.82,10.7
17.8,8.9,14.9,0.90,5.1
30.1,15.0,24.8,0.84,9.4
22.3,11.1,18.4,0.87,6.4
24.5,12.2,19.9,0.85,7.0
10.3,5.1,8.2,0.98,1.9
34.8,17.4,29.0,0.81,11.4
18.4,9.2,15.5,0.89,4.8
27.6,13.8,22.4,0.86,8.0
14.2,7.1,11.6,0.93,3.7
31.1,15.5,25.8,0.83,9.7
20.5,10.2,17.0,0.88,5.9
25.4,12.7,20.8,0.84,7.3
16.1,8.0,13.4,0.91,4.4
29.3,14.6,24.0,0.85,8.8
23.1,11.5,18.7,0.87,6.5
11.7,5.8,9.3,0.95,2.5
36.8,18.4,31.2,0.78,13.2
21.8,10.9,18.1,0.86,6.2
26.0,13.0,21.2,0.85,7.6
15.6,7.8,13.0,0.90,4.1
32.6,16.3,27.1,0.81,10.4
16.5,8.2,13.8,0.92,4.7
28.2,14.1,22.9,0.87,8.3
12.3,6.1,9.7,0.96,2.7
35.7,17.8,29.4,0.80,11.9
19.0,9.5,15.8,0.89,5.3
26.9,13.4,22.0,0.84,7.7
13.0,6.5,10.4,0.94,3.2
33.8,16.9,28.2,0.82,10.9
17.4,8.7,14.5,0.90,4.9
30.5,15.2,25.1,0.83,9.5
22.9,11.4,19.1,0.86,6.8
24.0,12.0,19.6,0.85,6.8
10.8,5.4,8.6,0.97,2.1
34.1,17.0,28.3,0.81,11.2
18.8,9.4,16.0,0.88,5.0
27.4,13.7,22.2,0.86,7.9
14.6,7.3,12.0,0.92,3.8
31.6,15.8,26.3,0.82,10.1
20.3,10.1,16.8,0.88,5.8
25.9,12.9,21.3,0.84,7.4
15.8,7.9,13.2,0.91,4.5
29.6,14.8,24.2,0.85,9.0
23.6,11.8,19.2,0.86,6.6
11.4,5.7,9.1,0.96,2.4
37.1,18.5,31.5,0.78,13.4
21.0,10.5,17.3,0.87,6.1
26.4,13.2,21.5,0.85,7.3
15.0,7.5,12.4,0.92,4.0
32.3,16.1,26.7,0.82,10.2
16.9,8.4,14.1,0.91,4.6
28.5,14.2,23.2,0.86,8.4
12.6,6.3,10.2,0.95,3.0
35.0,17.5,28.7,0.80,11.5
19.7,9.8,16.5,0.88,5.5
26.1,13.0,21.1,0.85,7.2
13.4,6.7,10.7,0.93,3.3
33.4,16.7,27.8,0.82,10.6
17.9,8.9,15.0,0.89,5.1
30.3,15.1,25.0,0.84,9.3
22.5,11.2,18.6,0.87,6.5
24.7,12.3,20.1,0.85,7.1
10.5,5.2,8.4,0.97,2.0
34.5,17.2,28.8,0.81,11.3
18.0,9.0,14.8,0.90,4.7
27.8,13.9,22.6,0.86,8.1
14.0,7.0,11.4,0.93,3.6
31.3,15.6,25.9,0.83,9.8
20.7,10.3,17.1,0.88,6.0
25.2,12.6,20.5,0.85,7.2
16.4,8.2,13.7,0.91,4.5
29.0,14.5,23.8,0.85,8.7
23.3,11.6,19.0,0.87,6.4
11.9,5.9,9.4,0.95,2.5
36.3,18.1,30.2,0.79,12.5
21.4,10.7,17.7,0.86,6.3
26.6,13.3,21.7,0.84,7.4
15.3,7.6,12.6,0.91,4.2
32.9,16.4,27.4,0.81,10.5
16.6,8.3,13.9,0.92,4.6
28.8,14.4,23.5,0.86,8.5
12.8,6.4,10.4,0.94,3.1
35.3,17.6,29.0,0.80,11.7
19.4,9.7,16.3,0.89,5.4
26.2,13.1,21.3,0.85,7.0
13.7,6.8,11.1,0.92,3.4
33.9,16.9,28.1,0.81,10.8
17.5,8.7,14.6,0.90,4.8
30.7,15.3,25.4,0.83,9.6
22.8,11.4,19.0,0.86,6.7
24.4,12.2,20.0,0.84,7.0
10.7,5.3,8.5,0.97,2.0
34.4,17.2,28.5,0.81,11.2
18.5,9.2,15.7,0.89,5.0
27.5,13.7,22.3,0.86,7.8
14.3,7.1,11.7,0.93,3.7
31.7,15.8,26.4,0.82,10.1
20.4,10.2,16.9,0.88,5.8
25.8,12.9,21.2,0.84,7.3
16.0,8.0,13.3,0.91,4.4
29.4,14.7,24.1,0.85,8.9
23.7,11.8,19.3,0.86,6.7
11.6,5.8,9.2,0.96,2.4
36.9,18.4,31.3,0.78,13.0
21.6,10.8,17.9,0.86,6.2
26.7,13.3,21.8,0.84,7.5
15.5,7.7,12.9,0.90,4.3
32.4,16.2,26.8,0.82,10.3
16.7,8.3,13.8,0.91,4.6
28.3,14.1,22.8,0.87,8.3
12.5,6.2,9.9,0.95,2.8
35.6,17.8,29.3,0.80,11.8
19.2,9.6,16.0,0.89,5.3
26.8,13.4,22.0,0.84,7.6
13.3,6.6,10.6,0.94,3.2
33.6,16.8,27.9,0.82,10.7
17.7,8.8,14.8,0.90,5.0
30.4,15.2,25.2,0.83,9.4
22.6,11.3,18.8,0.87,6.6
24.1,12.0,19.7,0.85,6.9
10.4,5.2,8.3,0.97,1.9
34.7,17.3,28.9,0.81,11.4
18.7,9.3,15.8,0.89,5.1
27.7,13.8,22.5,0.86,8.0
14.5,7.2,11.9,0.92,3.8
31.5,15.7,26.2,0.83,9.9
20.6,10.3,17.0,0.88,5.9
25.5,12.7,20.9,0.84,7.3
15.7,7.8,13.1,0.91,4.4
29.7,14.8,24.4,0.85,9.0
23.5,11.7,19.1,0.87,6.5
11.3,5.6,9.0,0.96,2.3
37.0,18.5,31.4,0.78,13.3
21.1,10.5,17.4,0.87,6.1
26.3,13.1,21.4,0.85,7.2
15.1,7.5,12.5,0.92,4.0
32.2,16.1,26.6,0.82,10.2
17.0,8.5,14.2,0.91,4.6
28.6,14.3,23.3,0.86,8.4
12.4,6.2,10.0,0.95,2.9
35.2,17.6,28.9,0.80,11.6
19.6,9.8,16.4,0.88,5.5
26.0,13.0,21.0,0.85,7.1
13.9,6.9,11.3,0.92,3.5
33.3,16.6,27.6,0.82,10.5
17.2,8.6,14.4,0.90,4.8
30.8,15.4,25.5,0.83,9.7
22.4,11.2,18.5,0.87,6.4
24.9,12.4,20.3,0.84,7.2
10.2,5.1,8.1,0.98,1.8
34.9,17.4,29.0,0.81,11.5
18.3,9.1,15.3,0.90,4.9
27.3,13.6,22.1,0.87,7.7
14.9,7.4,12.2,0.92,3.9
31.0,15.5,25.7,0.83,9.6
20.9,10.4,17.3,0.87,6.0
25.0,12.5,20.4,0.85,7.1
16.2,8.1,13.5,0.91,4.4
29.2,14.6,23.9,0.85,8.8
23.2,11.6,18.8,0.87,6.4
11.8,5.9,9.3,0.95,2.5
36.4,18.2,30.3,0.79,12.6
21.3,10.6,17.6,0.86,6.2
26.5,13.2,21.6,0.85,7.4
15.2,7.6,12.7,0.91,4.2
32.7,16.3,27.2,0.81,10.4
16.8,8.4,14.0,0.91,4.6
28.4,14.2,22.9,0.86,8.3
12.7,6.3,10.2,0.94,3.0
35.5,17.7,29.2,0.80,11.7
19.1,9.5,15.9,0.89,5.2
26.9,13.4,22.1,0.84,7.7
13.1,6.5,10.5,0.94,3.2
33.7,16.8,28.0,0.81,10.8
17.3,8.6,14.3,0.90,4.8
30.6,15.3,25.3,0.83,9.5
22.2,11.1,18.3,0.87,6.3
24.6,12.3,20.0,0.85,7.0
10.1,5.0,8.0,0.98,1.8
34.2,17.1,28.4,0.81,11.1
18.9,9.4,15.4,0.89,4.9
27.0,13.5,21.9,0.87,7.6
14.7,7.3,12.1,0.92,3.8
31.2,15.6,25.8,0.83,9.7
20.2,10.1,16.7,0.88,5.7
25.6,12.8,21.0,0.84,7.3
15.9,7.9,13.2,0.91,4.5
29.9,14.9,24.6,0.84,9.2
23.8,11.9,19.5,0.86,6.7
11.1,5.5,8.9,0.96,2.3
36.7,18.3,31.1,0.79,12.8
21.7,10.8,17.8,0.86,6.2
26.4,13.2,21.5,0.85,7.3
15.4,7.7,12.8,0.90,4.3
32.0,16.0,26.5,0.82,10.1
17.1,8.5,14.2,0.91,4.7
28.1,14.0,22.7,0.87,8.2
12.2,6.1,9.8,0.95,2.7
35.9,17.9,29.5,0.80,12.0
19.9,9.9,16.7,0.88,5.6
26.6,13.3,21.7,0.84,7.5
13.8,6.9,11.2,0.92,3.5
33.1,16.5,27.4,0.82,10.4
17.6,8.8,14.7,0.89,5.0
30.0,15.0,24.7,0.84,9.2
22.1,11.0,18.2,0.87,6.3
24.2,12.1,19.8,0.85,6.9
10.0,5.0,8.0,0.98,1.8
