id,L,W,H,DF,optimal_weight
0,24.2,30.0,27.7,1.2,20512.4
1,32.1,16.9,16.0,0.77,17.4
2,46.2,20.6,22.1,0.82,42.1
3,26.0,10.6,19.2,0.7,10.6
4,15.5,14.7,13.8,0.77,6.3
5,37.4,18.9,24.0,0.88,33.9
6,11.5,8.5,11.1,0.74,2.2
7,14.2,10.3,10.5,0.76,3.1
8,28.1,15.7,26.0,0.84,22.9
9,26.7,11.4,14.6,0.94,8.9
10,15.5,15.3,16.6,0.5,1673.1
11,5.8,3.0,2.1,0.74,0.1
12,22.7,18.6,12.0,0.81,10.1
13,30.8,19.2,10.9,0.73,12.8
14,20.6,24.3,18.5,0.76,18.5
15,30.8,14.3,20.1,0.82,17.7
16,23.7,15.6,16.4,0.74,12.1
17,16.3,20.5,6.2,0.93,4.1
18,13.0,7.1,13.8,0.85,2.6
19,25.5,23.0,16.0,0.82,18.8
20,32.7,30.0,14.0,0.81,27.4
21,42.1,21.1,11.5,0.96,20.5
22,18.0,9.9,8.4,0.92,3.0
23,17.1,6.9,10.8,0.98,2.5
24,18.4,9.3,9.6,0.7,3.3
25,10.6,7.5,4.2,0.86,0.7
26,12.4,9.8,10.4,0.71,2.5
27,47.3,24.8,30.3,0.73,71.2
28,25.6,13.5,18.7,0.81,13.0
29,34.3,19.1,33.6,0.85,44.0
30,14.3,15.9,12.3,0.71,5.6
31,23.6,25.4,13.2,0.87,15.9
32,6.1,3.8,5.6,0.75,0.3
33,12.7,5.1,5.3,0.79,0.7
34,33.3,14.1,14.6,0.5,2913.4
35,19.0,7.1,11.9,0.8,3.2
36,39.4,30.0,24.7,0.9,58.6
37,42.7,30.0,24.5,0.95,62.7
38,41.4,25.5,28.0,0.91,59.1
39,8.9,3.1,5.7,0.98,0.3
40,13.6,7.0,16.1,0.78,3.1
41,13.8,8.1,5.1,0.84,1.1
42,29.6,22.4,16.7,0.88,22.1
43,33.5,20.2,31.6,0.8,42.9
44,5.5,6.3,2.3,0.72,0.2
45,40.8,30.0,36.5,0.76,89.4
46,22.7,13.2,9.1,0.78,5.5
47,32.9,30.0,36.5,0.87,72.1
48,35.9,30.0,27.2,0.99,58.7
49,47.2,30.0,27.7,0.78,78.5
50,37.3,30.0,10.5,0.95,23.5
51,20.1,11.5,12.2,0.98,5.6
52,24.3,25.5,18.8,0.88,23.3
53,30.9,14.2,31.7,0.88,27.9
54,24.5,20.7,8.9,0.85,9.0
55,93.9,59.7,68.9,0.78,256078.2
56,21.1,18.7,16.2,0.92,12.8
57,17.9,19.8,10.9,0.78,7.7
